Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Australia,24114.16,25589.2,6734.0,2405.0,2.8,10.64,17380.16,7.8225
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Netherlands,10970.16,11310.32,2976.4,1063.0,2.8,10.64,7993.76,10.32
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Sweden,13058.36,13321.28,3505.6,1252.0,2.8,10.64,9552.76,10.43
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,France,0.0,723.52,190.4,68.0,2.8,10.64,-190.4,0.0
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Switzerland,28451.78,30600.64,8052.8,2876.0,2.8,10.64,20398.98,5.81666667
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Sales visit,Austria,0.0,425.6,112.0,40.0,2.8,10.64,-112.0,0.0
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United States,159492.97,171697.68,45183.6,16137.0,2.8,10.64,114309.37,7.8916129
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United Kingdom,66286.26,72362.64,19042.8,6801.0,2.8,10.64,47243.46,6.95
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United States,159040.72,167824.72,44164.4,15773.0,2.8,10.64,114876.32,9.28681818
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United Kingdom,59937.97,62318.48,16399.6,5857.0,2.8,10.64,43538.37,10.24090909
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United States,0.0,659.68,173.6,62.0,2.8,10.64,-173.6,0.0
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,United States,22472.21,23418.64,6162.8,2201.0,2.8,10.64,16309.41,10.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United States,84964.3,90354.88,23777.6,8492.0,2.8,10.64,61186.7,7.721875
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,United Kingdom,13488.34,14683.2,3864.0,1380.0,2.8,10.64,9624.34,5.17833333
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United States,266988.9,280661.92,73858.4,26378.0,2.8,10.64,193130.5,8.56658537
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United Kingdom,101760.06,107017.12,28162.4,10058.0,2.8,10.64,73597.66,8.772
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,United States,9907.2,10214.4,2688.0,960.0,2.8,10.64,7219.2,10.32
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United States,444797.67,468649.44,123328.8,44046.0,2.8,10.64,321468.87,7.60349206
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,United Kingdom,144943.2,152428.64,40112.8,14326.0,2.8,10.64,104830.4,7.75741935
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,United States,7958.72,7958.72,2094.4,748.0,2.8,10.64,5864.32,10.64
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Mexico,32224.18,35005.6,9212.0,3290.0,2.8,10.64,23012.18,7.30857143
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Brazil,10268.4,12012.56,3161.2,1129.0,2.8,10.64,7107.2,4.128
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Japan,32314.65,35271.6,9282.0,3315.0,2.8,10.64,23032.65,7.29285714
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,China,66278.36,72788.24,19154.8,6841.0,2.8,10.64,47123.56,7.6075
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Singapore,14410.41,16949.52,4460.4,1593.0,2.8,10.64,9950.01,5.0275
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Netherlands,58738.13,61594.96,16209.2,5789.0,2.8,10.64,42528.93,9.189
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Denmark,9331.94,10799.6,2842.0,1015.0,2.8,10.64,6489.94,5.105
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,France,53442.26,57626.24,15164.8,5416.0,2.8,10.64,38277.46,7.27214286
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Belgium,3560.4,3670.8,966.0,345.0,2.8,10.64,2594.4,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Austria,28380.0,30058.0,7910.0,2825.0,2.8,10.64,20470.0,8.256
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Canada,34408.13,35803.6,9422.0,3365.0,2.8,10.64,24986.13,10.22833333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Mexico,28714.89,29877.12,7862.4,2808.0,2.8,10.64,20852.49,10.232
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Brazil,46289.46,47794.88,12577.6,4492.0,2.8,10.64,33711.86,10.309
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Japan,11438.82,11863.6,3122.0,1115.0,2.8,10.64,8316.82,10.265
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Korea,41541.19,45230.64,11902.8,4251.0,2.8,10.64,29638.39,8.42166667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Singapore,31213.5,32686.08,8601.6,3072.0,2.8,10.64,22611.9,10.1575
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Finland,61168.11,64925.28,17085.6,6102.0,2.8,10.64,44082.51,9.189
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Denmark,3849.17,4011.28,1055.6,377.0,2.8,10.64,2793.57,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,France,10910.3,11320.96,2979.2,1064.0,2.8,10.64,7931.1,10.265
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Germany,14354.45,15151.36,3987.2,1424.0,2.8,10.64,10367.25,7.7125
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Belgium,17956.8,19024.32,5006.4,1788.0,2.8,10.64,12950.4,7.93846154
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Austria,12414.96,12799.92,3368.4,1203.0,2.8,10.64,9046.56,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Italy,26431.37,27376.72,7204.4,2573.0,2.8,10.64,19226.97,10.276
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Spain,21908.67,22780.24,5994.8,2141.0,2.8,10.64,15913.87,10.2375
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Canada,5697.18,6256.32,1646.4,588.0,2.8,10.64,4050.78,5.105
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,China,54872.68,57541.12,15142.4,5408.0,2.8,10.64,39730.28,10.15
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Korea,43249.56,45507.28,11975.6,4277.0,2.8,10.64,31273.96,8.50833333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Singapore,30742.31,32505.2,8554.0,3055.0,2.8,10.64,22188.31,8.168
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Netherlands,7361.41,9320.64,2452.8,876.0,2.8,10.64,4908.61,3.40333333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,France,15832.62,16449.44,4328.8,1546.0,2.8,10.64,11503.82,10.24666667
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Spain,14244.89,14747.04,3880.8,1386.0,2.8,10.64,10364.09,10.28333333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Canada,78873.89,83470.8,21966.0,7845.0,2.8,10.64,56907.89,9.00470588
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Japan,105116.13,112103.04,29500.8,10536.0,2.8,10.64,75615.33,8.22285714
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Korea,8433.46,9235.52,2430.4,868.0,2.8,10.64,6003.06,5.105
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Singapore,8402.83,8756.72,2304.4,823.0,2.8,10.64,6098.43,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Netherlands,13926.44,14512.96,3819.2,1364.0,2.8,10.64,10107.24,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Sweden,35922.91,37633.68,9903.6,3537.0,2.8,10.64,26019.31,9.10222222
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,France,5492.98,5724.32,1506.4,538.0,2.8,10.64,3986.58,10.21
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Germany,90981.09,97398.56,25631.2,9154.0,2.8,10.64,65349.89,7.748
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Italy,36174.44,38186.96,10049.2,3589.0,2.8,10.64,26125.24,7.97777778
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Spain,5584.87,7352.24,1934.8,691.0,2.8,10.64,3650.07,3.40333333
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Canada,10313.96,10693.2,2814.0,1005.0,2.8,10.64,7499.96,10.265
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,China,10686.27,11246.48,2959.6,1057.0,2.8,10.64,7726.67,10.11
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,France,19005.93,19652.08,5171.6,1847.0,2.8,10.64,13834.33,10.2925
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Germany,5036.16,5192.32,1366.4,488.0,2.8,10.64,3669.76,10.32
2004,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Spain,20593.99,21354.48,5619.6,2007.0,2.8,10.64,14974.39,10.265
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Canada,6759.6,6969.2,1834.0,655.0,2.8,10.64,4925.6,10.32
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Japan,0.0,1021.44,268.8,96.0,2.8,10.64,-268.8,0.0
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Korea,20684.98,21460.88,5647.6,2017.0,2.8,10.64,15037.38,10.265
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,China,48973.85,53870.32,14176.4,5063.0,2.8,10.64,34797.45,6.825
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Singapore,19120.0,20343.68,5353.6,1912.0,2.8,10.64,13766.4,10.0
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Australia,18398.52,19205.2,5054.0,1805.0,2.8,10.64,13344.52,8.344
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Netherlands,40859.62,44070.88,11597.6,4142.0,2.8,10.64,29262.02,6.45
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,France,64638.62,69426.0,18270.0,6525.0,2.8,10.64,46368.62,7.524
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Austria,12105.36,13278.72,3494.4,1248.0,2.8,10.64,8610.96,6.88
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Spain,20862.29,22822.8,6006.0,2145.0,2.8,10.64,14856.29,6.84333333
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Canada,83518.71,87503.36,23027.2,8224.0,2.8,10.64,60491.51,8.49882353
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Mexico,60578.4,62456.8,16436.0,5870.0,2.8,10.64,44142.4,10.32
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Brazil,66488.85,69596.24,18314.8,6541.0,2.8,10.64,48174.05,8.29266667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Japan,131528.91,137713.52,36240.4,12943.0,2.8,10.64,95288.51,8.87772727
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Korea,95183.63,102473.84,26966.8,9631.0,2.8,10.64,68216.83,7.02923077
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,China,40829.79,42549.36,11197.2,3999.0,2.8,10.64,29632.59,10.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Singapore,87568.95,92876.56,24441.2,8729.0,2.8,10.64,63127.75,7.89769231
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Australia,14351.68,14640.64,3852.8,1376.0,2.8,10.64,10498.88,10.43
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Netherlands,47286.24,48752.48,12829.6,4582.0,2.8,10.64,34456.64,10.32
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Sweden,52653.79,54838.56,14431.2,5154.0,2.8,10.64,38222.59,9.244
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Finland,103840.28,109251.52,28750.4,10268.0,2.8,10.64,75089.88,8.24866667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Denmark,11041.2,11438.0,3010.0,1075.0,2.8,10.64,8031.2,10.265
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,France,42918.96,44432.64,11692.8,4176.0,2.8,10.64,31226.16,9.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Germany,96008.0,101782.24,26784.8,9566.0,2.8,10.64,69223.2,8.32285714
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Belgium,69039.45,72373.28,19045.6,6802.0,2.8,10.64,49993.85,8.29266667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Switzerland,11356.35,11672.08,3071.6,1097.0,2.8,10.64,8284.75,10.35666667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Austria,53965.97,55434.4,14588.0,5210.0,2.8,10.64,39377.97,10.364
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Italy,77140.77,80353.28,21145.6,7552.0,2.8,10.64,55995.17,9.14888889
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Spain,75315.36,78480.64,20652.8,7376.0,2.8,10.64,54662.56,9.288
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Japan,0.0,351.12,92.4,33.0,2.8,10.64,-92.4,0.0
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Korea,10700.08,11150.72,2934.4,1048.0,2.8,10.64,7765.68,10.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Special,Switzerland,25314.3,26334.0,6930.0,2475.0,2.8,10.64,18384.3,8.92428571
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Canada,6789.65,7075.6,1862.0,665.0,2.8,10.64,4927.65,10.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Netherlands,9876.24,10533.6,2772.0,990.0,2.8,10.64,7104.24,5.16
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Spain,9896.88,10203.76,2685.2,959.0,2.8,10.64,7211.68,10.32
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Canada,46460.46,47997.04,12630.8,4511.0,2.8,10.64,33829.66,10.30625
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Japan,35718.9,37303.84,9816.8,3506.0,2.8,10.64,25902.1,8.58166667
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Sweden,5995.92,7256.48,1909.6,682.0,2.8,10.64,4086.32,3.44
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Germany,39955.71,41676.88,10967.6,3917.0,2.8,10.64,28988.11,8.98875
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Italy,41099.28,44517.76,11715.2,4184.0,2.8,10.64,29384.08,6.84333333
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,China,62342.26,64967.84,17096.8,6106.0,2.8,10.64,45245.46,10.21
2005,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,France,11683.0,11991.28,3155.6,1127.0,2.8,10.64,8527.4,10.375
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Japan,10033.66,11235.84,2956.8,1056.0,2.8,10.64,7076.86,5.215
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,China,36939.78,38495.52,10130.4,3618.0,2.8,10.64,26809.38,10.21
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Telephone,Singapore,10283.98,10491.04,2760.8,986.0,2.8,10.64,7523.18,10.43
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Canada,187139.46,193786.32,50996.4,18213.0,2.8,10.64,136143.06,9.25851852
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Mexico,110676.88,117252.8,30856.0,11020.0,2.8,10.64,79820.88,7.96384615
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Brazil,74829.65,78576.4,20678.0,7385.0,2.8,10.64,54151.65,7.835625
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Japan,150025.53,157237.92,41378.4,14778.0,2.8,10.64,108647.13,8.256
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Korea,118264.32,124636.96,32799.2,11714.0,2.8,10.64,85465.12,7.32352941
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,China,110095.19,114475.76,30125.2,10759.0,2.8,10.64,79969.99,9.14888889
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Singapore,91075.11,96100.48,25289.6,9032.0,2.8,10.64,65785.51,7.42642857
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Australia,72206.89,75129.04,19770.8,7061.0,2.8,10.64,52436.09,7.8225
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Netherlands,115274.61,122094.0,32130.0,11475.0,2.8,10.64,83144.61,7.60466667
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Sweden,42570.22,45486.0,11970.0,4275.0,2.8,10.64,30600.22,6.88
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Finland,130181.38,136990.0,36050.0,12875.0,2.8,10.64,94131.38,7.774375
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Denmark,31464.47,33473.44,8808.8,3146.0,2.8,10.64,22655.67,8.256
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,France,133653.04,138607.28,36475.6,13027.0,2.8,10.64,97177.44,8.11064516
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Germany,118719.96,123626.16,32533.2,11619.0,2.8,10.64,86186.76,8.00115385
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Belgium,69272.28,72383.92,19048.4,6803.0,2.8,10.64,50223.88,7.38705882
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Switzerland,33003.92,33952.24,8934.8,3191.0,2.8,10.64,24069.12,8.92285714
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Austria,79007.25,82619.6,21742.0,7765.0,2.8,10.64,57265.25,8.344
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Italy,119951.53,125307.28,32975.6,11777.0,2.8,10.64,86975.93,8.13214286
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Web,Spain,114286.84,120870.4,31808.0,11360.0,2.8,10.64,82478.84,8.14
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Japan,0.0,904.4,238.0,85.0,2.8,10.64,-238.0,0.0
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Singapore,11248.8,11597.6,3052.0,1090.0,2.8,10.64,8196.8,10.32
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Mail,Germany,4484.9,5234.88,1377.6,492.0,2.8,10.64,3107.3,5.215
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Japan,0.0,255.36,67.2,24.0,2.8,10.64,-67.2,0.0
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Germany,15952.32,16970.8,4466.0,1595.0,2.8,10.64,11486.32,6.32
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Switzerland,6643.91,6777.68,1783.6,637.0,2.8,10.64,4860.31,10.43
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,E-mail,Italy,10252.69,12172.16,3203.2,1144.0,2.8,10.64,7049.49,3.47666667
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,China,0.0,3192.0,840.0,300.0,2.8,10.64,-840.0,0.0
2006,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Fax,Spain,10304.84,10512.32,2766.4,988.0,2.8,10.64,7538.44,10.43
2004,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,Sales visit,United States,339693.2,365264.9,198030.0,2870.0,69.0,127.27,141663.2,118.36
2004,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,Sales visit,United Kingdom,22961.84,24690.38,13386.0,194.0,69.0,127.27,9575.84,118.36
2005,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,Sales visit,United States,206481.38,219668.02,94153.3,1726.0,54.55,127.27,112328.08,119.63
2006,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,Sales visit,United States,236267.82,264212.52,109093.8,2076.0,52.55,127.27,127174.02,115.818
2006,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,Sales visit,United Kingdom,42197.59,44417.23,18339.95,349.0,52.55,127.27,23857.64,120.91
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,Mexico,365177.28,392662.44,257627.97,3027.0,85.11,129.72,107549.31,120.64
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,Korea,522853.76,562206.48,368866.74,4334.0,85.11,129.72,153987.02,120.64
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,Singapore,442990.08,476331.84,312523.92,3672.0,85.11,129.72,130466.16,120.64
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,Finland,131980.16,141913.68,93110.34,1094.0,85.11,129.72,38869.82,120.64
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,Denmark,63818.56,68621.88,45023.19,529.0,85.11,129.72,18795.37,120.64
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,France,240194.24,258272.52,169454.01,1991.0,85.11,129.72,70740.23,120.64
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,Germany,268424.0,288627.0,189369.75,2225.0,85.11,129.72,79054.25,120.64
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,Sales visit,Belgium,22318.4,23998.2,15745.35,185.0,85.11,129.72,6573.05,120.64
