Geography,Gender,Age,Tenure,Balance,HasCrCard,EstimatedSalary,CreditScore,IsActiveMember,NumOfProducts,Churn
Germany,Male,36.0,5,146050.97,0,86424.57,585,0,2,0
France,Female,33.0,5,0.0,0,116978.19,788,0,2,0
Germany,Male,41.0,8,125561.97,0,164040.94,655,0,1,1
Germany,Male,42.0,1,98495.72,1,40014.76,601,0,1,1
France,Male,43.0,1,125211.92,1,113410.49,619,1,1,0
France,Male,45.0,5,127864.4,1,87107.57,656,0,1,0
Germany,Male,19.0,0,75888.2,0,45613.75,725,0,1,0
Spain,Female,66.0,4,0.0,1,1643.11,511,0,1,1
France,Male,51.0,4,40685.92,1,46775.28,614,1,1,0
Germany,Male,35.0,5,136857.0,0,84509.57,742,0,1,0
Germany,Female,27.0,9,152328.88,0,126494.82,687,0,2,0
Spain,Male,33.0,1,56084.69,0,178798.13,555,0,2,0
Spain,Male,56.0,8,78707.16,1,99398.36,684,1,1,0
Germany,Male,26.0,4,109166.37,1,92840.67,603,1,1,0
Germany,Female,36.0,6,169831.46,1,27758.36,751,1,2,0
Germany,Female,34.0,1,101633.04,1,110431.51,581,0,1,0
Germany,Male,43.0,10,123180.01,1,196673.28,735,1,2,0
Germany,Female,35.0,5,150725.53,0,113656.85,661,1,2,0
France,Female,21.0,8,98373.26,1,18203.0,675,0,1,0
Germany,Male,58.0,2,133745.44,1,28373.86,738,0,4,1
France,Male,29.0,6,0.0,1,33953.87,813,0,1,0
Spain,Female,37.0,0,163607.18,0,44203.55,657,1,1,0
Germany,Female,25.0,5,157780.84,1,58426.81,604,1,2,0
France,Male,36.0,9,0.0,0,100074.74408263284,519,1,2,0
France,Female,21.0,1,178718.19,1,22388.0,735,0,2,0
France,Male,55.0,8,0.0,1,139161.64,664,1,2,0
France,Female,32.0,9,0.0,1,100074.74408263284,678,1,1,0
Spain,Male,33.0,5,77253.22,0,194239.63,757,1,1,0
Germany,Female,41.0,10,122189.66,1,98301.61,416,0,2,0
France,Female,34.0,1,96645.54,0,171413.66,665,0,2,0
France,Female,32.0,2,0.0,1,136458.19,777,0,1,1
France,Female,36.0,3,0.0,0,26019.59,543,0,2,0
France,Female,34.0,4,90307.62,1,159235.29,506,1,1,0
France,Female,46.0,4,0.0,1,1907.66,493,0,2,0
Spain,Female,75.0,10,0.0,1,114675.75,652,1,2,0
Spain,Male,22.0,3,121681.82,1,128643.35,750,0,1,1
France,Male,30.0,9,0.0,1,100074.74408263284,729,0,2,0
France,Female,46.0,4,0.0,1,93251.42,646,0,3,1
Germany,Female,28.0,3,81623.67,1,156791.36,635,1,2,0
Spain,Female,44.0,5,0.0,1,174205.22,647,1,3,1
France,Male,45.0,7,118626.55,1,147132.46,808,0,2,0
France,Female,36.0,10,0.0,1,100074.74408263284,524,0,2,0
France,Male,29.0,8,0.0,1,172290.61,769,1,2,0
Spain,Male,42.0,4,0.0,0,85982.47,730,1,2,0
Spain,Male,35.0,10,176273.95,0,121277.78,515,1,1,0
Spain,Male,41.0,9,102827.44,0,64595.25,773,1,1,0
Germany,Male,29.0,8,97086.4,1,197276.13,814,1,2,0
Spain,Male,22.0,8,0.0,0,99645.04,710,0,2,0
France,Male,34.0,9,0.0,0,6534.18,413,0,2,0
France,Female,40.0,6,0.0,1,161848.03,665,1,1,0
France,Female,44.0,6,0.0,0,167162.43,623,0,2,0
France,Male,31.0,9,82674.15,1,41970.72,738,0,1,0
Spain,Male,36.0,7,0.0,1,60536.56,528,0,2,0
Spain,Female,65.0,1,0.0,1,177655.68,670,1,1,1
Spain,Female,46.0,4,107073.27,1,30984.59,622,1,2,1
Germany,Male,32.0,1,88938.62,1,10054.53,582,1,1,0
Germany,Female,36.0,2,99806.85,0,36976.52,785,1,1,0
Spain,Male,33.0,5,150092.8,0,71862.79,605,0,1,0
Germany,Male,35.0,9,92833.89,1,99449.86,479,0,1,1
Germany,Male,30.0,3,90536.81,0,63082.88,685,1,1,0
Germany,Male,39.0,7,108055.1,1,27231.26,538,0,2,0
France,Male,42.0,2,100238.35,0,86797.41,562,0,1,0
Spain,Male,36.0,9,106190.55,0,22994.32,675,1,1,0
Germany,Male,28.0,9,154475.54,0,101300.94,721,1,2,1
Germany,Female,30.0,9,132351.29,1,74169.13,628,1,2,0
Germany,Female,37.0,6,167864.4,1,115638.29,668,0,1,0
France,Female,41.0,1,0.0,1,31766.3,506,0,2,0
Germany,Female,31.0,8,107818.63,1,199725.39,524,0,1,1
Germany,Male,34.0,4,185173.81,1,120834.48,699,0,2,0
France,Male,34.0,8,129433.34,0,38131.77,828,0,2,0
Spain,Male,39.0,6,120193.42,0,100130.95,674,0,1,0
France,Female,39.0,6,0.0,1,141069.88,656,0,2,0
Germany,Female,48.0,10,126384.42,1,198129.36,684,1,1,0
France,Female,28.0,3,0.0,0,183646.41,625,0,1,0
France,Male,42.0,9,152603.45,1,110265.24,432,0,1,1
France,Female,52.0,1,0.0,0,8636.05,549,1,1,1
Germany,Male,56.0,0,148507.24,1,46824.08,625,0,1,1
France,Female,41.0,7,0.0,1,171378.77,828,0,2,0
France,Male,24.0,9,101827.07,1,167256.35,770,0,1,0
France,Female,34.0,3,0.0,1,124226.16,758,1,2,0
Germany,Female,33.0,9,130862.43,1,114935.21,795,1,1,0
France,Male,38.0,9,122570.87,1,35608.88,687,1,1,0
France,Male,25.0,1,0.0,0,16459.37,686,1,2,0
Germany,Male,39.0,7,124828.46,1,124411.08,789,1,2,0
Germany,Female,50.0,5,144895.05,1,34941.23,589,1,2,0
Germany,Female,34.0,5,63663.93,0,167784.28,461,1,1,0
France,Male,40.0,2,133463.1,0,93165.34,637,1,1,0
Spain,Female,48.0,2,213146.2,1,75161.25,584,0,1,1
Spain,Female,35.0,1,129490.36,0,8590.83,579,1,2,1
Germany,Male,44.0,10,137452.09,1,189543.9,756,0,1,0
France,Male,34.0,7,0.0,1,180427.24,663,1,2,0
France,Female,43.0,5,125851.93,1,193318.33,682,1,1,0
Spain,Male,52.0,2,0.0,1,159123.82,793,0,1,1
France,Female,31.0,5,40915.55,1,126213.84,691,0,1,1
Spain,Female,21.0,5,113157.22,1,54141.5,485,1,1,0
Spain,Female,29.0,8,138296.94,1,141075.51,635,0,2,0
France,Male,37.0,5,106967.18,0,24495.03,650,0,1,0
France,Male,44.0,9,120681.63,1,74836.34,735,0,1,0
France,Male,32.0,0,0.0,0,878.87,416,1,2,0
Spain,Female,32.0,7,0.0,1,89520.75,754,0,2,0
France,Female,48.0,9,0.0,1,149892.79,535,0,1,1
Spain,Male,42.0,8,0.0,1,180800.42,716,0,2,0
France,Male,37.0,2,127609.59,1,98646.22,539,0,1,0
France,Female,43.0,6,0.0,1,109041.53,614,1,2,0
Spain,Male,57.0,7,0.0,1,17941.16,706,0,1,1
France,Female,33.0,7,0.0,0,82996.47,758,0,2,0
Spain,Female,28.0,2,0.0,1,92067.35,586,1,2,0
France,Female,73.0,6,97259.25,0,104719.66,646,1,1,0
Germany,Female,33.0,4,123246.7,0,112687.57,631,0,1,0
Spain,Female,22.0,6,101060.25,0,84699.56,717,1,1,0
France,Male,30.0,2,0.0,1,83473.82,684,0,2,0
France,Female,49.0,7,108007.36,0,47125.11,800,0,1,0
Spain,Female,36.0,2,0.0,1,106977.8,721,1,2,0
Spain,Male,29.0,0,133702.89,1,55582.54,683,0,1,1
Germany,Male,31.0,9,125189.75,1,139874.43,660,1,2,0
Germany,Female,24.0,7,113034.22,1,162503.48,704,0,1,1
Spain,Female,41.0,9,109013.23,1,196499.96,615,0,1,0
Spain,Female,39.0,2,0.0,1,40721.24,667,0,2,1
Germany,Male,24.0,9,57929.81,0,53134.3,682,0,2,0
France,Female,29.0,4,130114.39,1,164017.89,484,0,1,0
Germany,Male,27.0,5,95826.49,1,155996.96,628,0,2,0
Germany,Male,44.0,10,129608.57,1,5472.7,480,0,1,1
France,Male,30.0,4,169462.09,1,112187.11,578,0,1,0
France,Male,40.0,5,0.0,1,146457.83,512,1,2,0
Spain,Female,35.0,7,133868.21,1,27286.1,484,1,1,0
France,Female,30.0,0,0.0,1,130553.47,510,1,2,0
Germany,Male,36.0,5,190479.48,0,179351.89,606,0,2,0
Spain,Female,40.0,8,101993.12,0,94774.12,597,1,1,0
Germany,Female,55.0,3,161608.81,1,8080.85,754,0,1,1
Spain,Female,45.0,2,122311.21,1,19482.5,850,1,1,0
France,Male,65.0,2,0.0,1,48071.61,510,1,2,0
Germany,Female,45.0,1,162150.42,1,174531.27,778,0,2,0
France,Male,42.0,2,0.0,1,55470.78,636,1,2,0
France,Female,50.0,4,0.0,1,8546.87,804,1,1,1
France,Male,32.0,8,0.0,1,95857.18,514,0,2,0
France,Female,39.0,1,99010.67,1,194945.8,730,0,1,0
Spain,Female,37.0,0,0.0,0,131521.72,525,1,1,0
Spain,Male,30.0,5,0.0,0,196108.51,616,1,2,0
Germany,Female,34.0,7,111388.18,1,148564.76,687,0,2,0
France,Female,41.0,8,56214.85,0,92982.61,715,0,2,1
France,Female,36.0,3,84327.77,1,17675.36,512,0,2,0
France,Male,40.0,1,0.0,0,114996.43,479,0,2,0
France,Male,32.0,8,93012.89,1,86957.42,601,0,1,0
Spain,Male,29.0,9,61710.44,1,128077.8,580,0,2,0
France,Male,35.0,3,174790.15,1,600.36,807,1,1,0
Spain,Female,32.0,6,0.0,1,43001.46,616,1,2,0
Germany,Male,37.0,3,107720.64,1,158591.12,721,1,1,0
France,Male,57.0,10,0.0,1,47847.19,501,1,2,0
France,Male,35.0,6,96423.84,1,10488.44,521,0,1,0
Spain,Male,30.0,2,141040.01,1,5978.2,850,1,1,0
France,Male,42.0,4,105420.18,0,121409.06,759,1,1,0
Spain,Male,50.0,5,0.0,0,146145.93,516,1,1,1
France,Female,38.0,2,129022.06,1,14374.86,711,1,2,1
Spain,Male,33.0,3,176666.62,1,94670.77,512,0,1,0
France,Male,37.0,3,0.0,1,179670.31,550,1,1,0
Spain,Female,41.0,3,89763.84,0,199304.74,608,0,1,1
France,Male,34.0,5,134954.53,1,151954.39,618,1,1,0
France,Male,45.0,5,0.0,1,142513.5,643,0,1,1
France,Male,45.0,2,106376.85,0,158264.62,671,1,1,0
Germany,Male,33.0,2,161814.64,1,169381.9,689,0,2,0
France,Male,31.0,8,0.0,1,169915.02,603,1,2,0
France,Female,41.0,9,0.0,0,88852.47,620,0,2,0
France,Female,34.0,1,63095.01,1,40645.81,676,1,1,0
Germany,Male,26.0,4,118287.01,0,60427.3,572,0,2,0
Germany,Male,47.0,7,106854.21,0,157959.02,668,1,1,1
France,Male,46.0,7,49512.55,1,133007.34,695,0,1,0
Spain,Female,33.0,9,0.0,0,176576.62,730,0,2,0
France,Male,43.0,1,105799.32,1,34888.04,807,0,2,1
France,Male,54.0,8,0.0,1,28737.71,592,1,1,1
France,Female,31.0,9,114722.05,1,98178.57,726,1,2,0
Spain,Male,30.0,7,0.0,0,125010.24,514,1,1,0
France,Male,42.0,2,0.0,1,167984.61,567,1,2,0
France,Male,33.0,10,0.0,1,4861.72,850,0,1,1
Germany,Male,45.0,6,99564.22,1,108872.45,671,1,1,1
France,Male,37.0,4,170557.91,1,198252.88,670,0,2,0
France,Female,30.0,9,0.0,1,26960.31,694,1,2,0
Germany,Female,39.0,6,74596.15,1,85746.52,547,1,3,1
Germany,Male,50.0,2,96888.39,1,77206.25,751,0,1,1
Germany,Female,29.0,3,130830.22,1,61048.53,594,0,1,0
France,Male,72.0,1,0.0,0,111981.19,673,1,2,0
France,Male,40.0,0,0.0,1,62232.6,610,0,2,0
France,Female,37.0,1,0.0,0,156105.03,512,1,2,0
Germany,Male,20.0,3,119714.25,0,150135.38,767,1,2,0
France,Female,67.0,5,113978.97,0,93146.11,585,1,2,0
Germany,Male,42.0,6,100160.75,1,33462.94,763,0,1,1
France,Female,29.0,2,0.0,1,144375.0,712,1,1,0
Germany,Female,43.0,3,116220.5,1,55803.96,539,0,3,1
France,Female,46.0,2,0.0,1,89048.46,668,0,3,1
France,Male,28.0,2,81173.83,0,162812.16,703,1,2,0
Spain,Male,38.0,4,0.0,1,136259.65,662,0,2,0
Germany,Female,39.0,5,116803.8,1,124052.97,725,0,1,0
France,Male,37.0,8,105961.68,0,74158.8,703,1,2,0
Germany,Male,67.0,6,117411.6,1,45071.09,659,1,1,1
Spain,Male,34.0,7,0.0,1,62030.06,523,0,2,0
France,Female,40.0,10,123497.58,1,131953.23,635,0,1,1
Germany,Male,26.0,7,152400.51,1,79414.0,772,0,2,0
France,Female,26.0,1,0.0,1,199638.56,545,1,2,0
Germany,Male,24.0,8,103097.85,1,157577.29,634,1,1,0
Germany,Male,54.0,8,126418.14,1,134420.75,739,0,1,1
Germany,Female,36.0,5,77846.9,0,99805.99,771,0,1,0
Spain,Female,34.0,1,0.0,1,97932.68,587,1,2,0
France,Female,79.0,0,0.0,0,170968.99,681,1,2,0
Germany,Male,37.0,2,79731.91,1,57558.95,544,1,1,0
Spain,Male,28.0,8,0.0,0,176713.47,696,0,1,0
Spain,Male,41.0,0,0.0,0,34283.23,766,1,2,0
France,Male,34.0,10,0.0,1,198637.34,727,1,2,0
Germany,Female,34.0,6,37266.67,0,156917.12,671,0,2,0
France,Female,30.0,6,127992.25,1,50457.2,693,1,1,0
Germany,Male,38.0,3,54901.01,1,140075.55,850,1,1,0
Germany,Male,42.0,9,108748.08,1,65323.11,732,1,2,0
Spain,Female,48.0,6,99906.19,1,64323.24,726,0,1,0
France,Female,32.0,6,184686.41,1,14956.44,557,0,2,0
France,Female,26.0,0,110654.02,0,111879.21,682,1,1,0
Spain,Male,31.0,9,79019.8,1,18606.23,738,1,1,0
Spain,Female,36.0,9,99240.51,1,123137.01,531,0,1,0
France,Male,34.0,2,0.0,1,148528.24,498,1,2,0
France,Male,36.0,7,0.0,1,13898.31,651,0,2,0
Spain,Female,39.0,7,0.0,0,81259.25,549,0,1,1
Germany,Female,35.0,7,52436.2,1,161051.75,791,0,1,0
Spain,Male,41.0,9,0.0,0,191599.67,650,1,2,0
Germany,Male,34.0,3,100337.96,1,48559.19,733,0,3,1
Germany,Female,34.0,1,149297.19,1,186339.74,811,1,2,0
France,Male,30.0,8,0.0,1,33159.37,707,0,2,0
Germany,Male,28.0,4,145605.44,0,93883.53,712,1,1,0
Spain,Female,37.0,7,0.0,1,110899.3,706,1,2,0
France,Male,62.0,3,0.0,1,11199.04,756,1,1,1
France,Female,53.0,10,0.0,1,189992.97,777,0,2,0
France,Male,35.0,6,84026.86,0,164255.69,646,1,1,0
France,Male,46.0,1,0.0,1,152167.79,714,0,1,1
France,Male,39.0,8,0.0,1,33949.67,782,1,2,0
Spain,Male,29.0,10,0.0,1,68143.93,775,1,2,0
Germany,Male,35.0,4,138718.92,1,47251.79,479,1,1,1
France,Male,42.0,7,118274.71,1,25885.72,807,1,1,0
France,Female,22.0,8,174185.98,0,192633.85,799,1,2,0
France,Male,40.0,7,113208.86,1,34577.36,675,0,2,0
Spain,Male,29.0,5,103907.28,1,161229.84,602,0,1,0
France,Female,32.0,8,119023.28,1,100816.29,475,0,1,0
Spain,Female,26.0,5,166297.89,1,181694.44,744,1,1,0
Spain,Male,34.0,10,0.0,1,79078.91,588,0,2,0
Germany,Male,42.0,9,63227.0,0,137316.32,703,1,1,0
Spain,Female,41.0,5,94521.17,1,194926.86,747,0,2,0
France,Male,27.0,7,0.0,1,51285.49,583,0,2,0
Spain,Female,34.0,9,112822.26,0,150401.53,750,0,1,1
France,Male,38.0,3,0.0,1,112491.96,681,1,2,0
France,Male,25.0,2,135903.33,1,73656.38,773,0,1,0
France,Female,31.0,4,125169.26,1,106636.89,714,1,1,0
Spain,Female,44.0,7,0.0,1,155853.52,687,0,3,1
France,Male,58.0,0,149117.31,1,162599.51,511,1,1,0
France,Male,33.0,5,0.0,1,103737.82,627,1,2,0
France,Female,31.0,10,0.0,1,160990.27,694,0,2,0
Spain,Female,36.0,6,132311.71,0,15462.84,616,0,1,0
France,Male,35.0,8,0.0,1,10334.05,687,0,2,0
France,Female,33.0,6,0.0,1,190686.16,712,1,2,0
France,Male,33.0,4,118082.89,0,94440.45,553,0,1,0
France,Male,31.0,1,119266.69,1,28257.63,667,1,1,0
France,Male,43.0,2,0.0,1,170034.95,731,1,1,1
Germany,Male,35.0,7,156847.29,1,31824.29,629,0,2,0
France,Male,50.0,4,137104.47,1,127166.49,614,0,1,1
Germany,Male,31.0,8,78398.69,1,44937.01,438,0,1,0
France,Female,80.0,4,0.0,1,188603.07,652,1,2,0
Germany,Male,30.0,6,63669.42,1,145111.37,729,0,1,0
France,Male,38.0,3,0.0,0,171463.83,642,0,2,0
Germany,Female,59.0,0,135296.33,1,182822.5,806,0,1,0
Spain,Male,36.0,2,153804.44,1,87213.33,744,1,1,0
Spain,Male,37.0,3,0.0,0,57175.32,474,0,2,0
France,Male,49.0,2,147069.78,1,120540.83,559,0,1,1
Spain,Male,42.0,9,0.0,1,28714.34,706,1,2,0
Spain,Female,22.0,3,0.0,1,85426.28,628,0,1,0
France,Male,24.0,4,95741.75,1,46170.75,429,0,1,0
Spain,Female,57.0,2,145965.33,1,64448.36,525,1,1,0
France,Female,30.0,8,141441.75,1,16278.97,680,1,1,0
France,Male,40.0,1,139290.41,1,182855.42,749,0,1,1
France,Female,31.0,4,0.0,0,50404.72,763,0,2,0
France,Male,30.0,3,0.0,1,107640.25,734,0,2,0
France,Male,35.0,4,144428.87,1,134132.65,716,0,1,0
France,Male,35.0,2,0.0,1,103480.69,594,0,2,0
France,Female,46.0,9,95441.27,1,108761.05,644,0,1,1
Germany,Male,35.0,1,144848.74,1,179012.3,671,1,1,0
Germany,Male,26.0,7,116244.14,1,95145.14,664,1,2,0
France,Male,50.0,7,0.0,0,72143.44,656,1,2,0
Spain,Female,40.0,1,146502.07,1,19162.89,667,0,1,0
Germany,Male,44.0,2,117028.6,0,144680.18,663,1,2,0
Germany,Female,30.0,8,112013.81,1,177772.03,584,0,1,1
Spain,Female,37.0,6,108269.37,1,5597.94,626,0,1,0
France,Male,29.0,7,182123.79,1,116828.51,485,0,1,1
Germany,Female,32.0,3,150923.74,0,174652.51,659,1,2,0
France,Male,33.0,2,0.0,1,2010.98,649,0,2,0
Spain,Female,39.0,5,165272.13,1,14109.85,805,0,1,1
Germany,Female,39.0,10,115301.31,1,43527.4,716,0,1,1
Germany,Female,40.0,6,129502.49,0,86099.23,642,1,2,1
France,Male,31.0,4,118342.26,0,161574.19,659,0,1,0
Spain,Female,47.0,5,0.0,1,38970.14,545,1,2,0
France,Male,22.0,8,0.0,0,127587.22,543,0,2,0
France,Female,25.0,7,0.0,1,30380.12,718,0,2,0
France,Female,43.0,7,0.0,1,90908.95,840,0,2,0
Germany,Female,34.0,9,106937.05,1,138275.01,630,0,2,0
Germany,Male,59.0,3,170331.37,1,32171.79,643,1,1,0
Germany,Female,32.0,1,114510.85,1,126143.23,654,1,1,0
France,Male,39.0,5,0.0,1,129892.93,582,1,2,0
Spain,Male,32.0,3,107594.11,1,102416.84,659,1,2,0
Spain,Male,39.0,2,81273.13,1,18719.67,762,1,1,0
Spain,Female,32.0,7,169399.6,1,61936.22,568,0,1,0
Spain,Male,25.0,6,0.0,1,78358.94,670,1,2,0
France,Female,45.0,1,187841.99,1,147224.27,613,1,2,0
France,Male,30.0,0,0.0,1,160979.66,539,0,2,0
Spain,Female,57.0,8,126776.3,1,132298.49,850,1,2,0
Spain,Male,34.0,9,126436.29,1,174248.52,522,0,1,1
France,Male,41.0,1,101960.74,1,123547.28,737,1,1,0
France,Male,58.0,3,0.0,0,32790.02,520,1,2,0
Spain,Male,28.0,3,0.0,0,181543.67,706,1,2,0
Germany,Female,45.0,2,150842.93,0,2319.96,643,1,1,1
France,Female,50.0,9,102535.57,1,189543.19,648,1,1,0
Germany,Female,29.0,9,99027.61,1,10940.4,443,0,2,0
France,Male,68.0,9,0.0,1,199493.38,640,1,2,0
Spain,Female,33.0,3,0.0,1,188193.25,628,1,1,0
Germany,Female,42.0,9,87271.41,1,172572.64,540,0,2,0
Germany,Female,35.0,8,102742.91,1,189339.6,460,1,2,0
Germany,Male,34.0,2,40105.51,0,53512.16,636,1,2,0
France,Female,29.0,2,152265.43,1,34004.44,593,0,1,0
Spain,Male,42.0,4,141947.67,1,10598.29,801,1,1,0
Germany,Female,75.0,1,106307.91,0,113428.77,640,1,2,0
Germany,Male,31.0,0,107884.81,1,183487.98,611,1,2,0
Germany,Male,31.0,1,125013.72,1,187658.09,802,1,1,0
Germany,Male,35.0,7,58469.37,1,172459.39,717,1,2,0
France,Female,39.0,8,0.0,0,21016.0,769,1,1,0
Germany,Male,45.0,10,117231.63,1,122381.02,745,1,3,1
Spain,Male,35.0,4,152390.26,1,128123.66,572,0,1,0
Spain,Female,30.0,2,34013.63,1,19570.63,629,0,1,0
Spain,Female,39.0,2,0.0,0,188150.6,687,0,3,1
France,Female,50.0,9,0.0,1,111020.24,483,1,2,0
France,Male,36.0,7,101583.11,1,123775.15,690,0,2,0
Germany,Female,30.0,10,77168.87,0,146700.22,492,1,2,0
Germany,Male,28.0,8,124695.72,1,145251.35,709,0,2,0
Germany,Male,44.0,3,105934.96,1,82463.69,705,0,1,0
France,Female,66.0,9,0.0,1,15928.49,560,1,1,0
Spain,Male,46.0,6,0.0,1,45886.33,611,0,2,0
Spain,Male,62.0,2,0.0,1,186489.95,730,1,2,0
Spain,Female,45.0,2,0.0,0,162922.65,709,1,2,0
France,Female,21.0,10,161525.96,1,9262.77,544,0,2,0
Germany,Female,29.0,7,147199.07,1,84932.4,712,1,1,0
Germany,Male,38.0,3,183102.29,1,71557.12,752,1,1,0
Spain,Male,46.0,9,127209.0,1,77405.95,648,0,2,1
Spain,Male,38.0,8,0.0,0,417.41,556,0,2,1
Spain,Female,24.0,0,97378.54,1,71405.17,594,1,1,0
Germany,Female,37.0,2,136925.09,0,153400.24,645,1,2,0
France,Male,33.0,3,54503.55,1,371.05,557,1,1,0
Germany,Male,32.0,8,155726.85,1,67789.99,547,0,1,0
France,Female,39.0,9,0.0,0,145894.9,701,1,2,0
France,Female,66.0,1,135842.41,1,183840.51,616,0,1,1
France,Male,52.0,1,63349.75,1,108887.44,605,0,1,0
Germany,Female,38.0,4,129499.42,1,154071.27,593,1,1,0
Spain,Male,52.0,8,0.0,0,179291.85,751,1,2,0
Spain,Male,36.0,6,70438.01,0,56937.43,443,1,2,0
France,Male,23.0,8,0.0,1,112239.03,685,1,2,0
France,Male,36.0,9,0.0,1,45909.87,718,0,1,0
Spain,Female,49.0,9,141434.04,0,173779.25,538,0,1,1
Spain,Female,37.0,4,0.0,1,125696.26,611,0,2,0
Germany,Male,37.0,10,152958.29,1,159585.61,668,1,2,0
Germany,Female,41.0,3,138306.34,1,106761.47,537,0,1,0
Spain,Male,23.0,10,0.0,0,129590.18,709,0,2,0
France,Male,38.0,1,0.0,1,80006.65,850,1,2,0
Spain,Female,31.0,3,124328.84,1,140451.52,745,1,1,0
Germany,Female,41.0,9,181461.48,1,187929.43,693,1,3,1
Spain,Male,35.0,8,0.0,1,167155.36,795,0,2,0
Spain,Male,26.0,8,0.0,0,191420.71,626,0,2,0
Germany,Female,61.0,5,110368.03,0,11384.45,487,0,1,1
France,Female,39.0,9,89588.35,1,94898.1,556,1,1,0
France,Female,46.0,6,0.0,0,106781.59,643,0,2,0
France,Female,28.0,6,0.0,0,159508.52,605,0,2,0
Germany,Female,60.0,3,115924.89,1,93524.19,756,0,1,1
France,Female,38.0,2,0.0,1,87168.46,586,0,2,0
Germany,Male,40.0,7,111756.5,1,8128.32,535,0,1,1
France,Female,35.0,4,0.0,1,125518.32,678,0,1,0
France,Male,39.0,9,0.0,1,48963.59,596,0,1,0
France,Male,26.0,9,162923.85,1,98368.24,648,0,1,0
Germany,Male,39.0,10,124576.65,1,148584.61,492,0,2,0
France,Male,45.0,0,80793.58,1,27474.81,702,1,1,0
Germany,Female,40.0,9,71340.09,1,76192.21,486,0,1,0
Germany,Male,40.0,1,99282.63,0,134600.94,568,0,1,1
Germany,Male,57.0,3,137946.39,1,72467.99,619,1,1,1
Germany,Male,41.0,2,127892.57,0,199645.45,724,1,2,0
Germany,Female,33.0,0,101084.36,1,42749.85,548,0,1,0
Germany,Female,37.0,8,114754.08,1,136050.44,545,0,1,1
France,Male,33.0,8,0.0,0,73564.44,683,0,1,0
France,Female,51.0,3,99286.98,0,85578.63,762,1,1,0
